Desde,Hasta,K (Biot),CS,QS,SI,K (Feld),ARC,Epid,Cl,NR,K (Hist),Comentarios
0.0,8.0,0,0,0,0,0,0,0,0,0,0,Relleno de plataforma
8.0,184.0,80,0,20,0,0,0,0,0,0,0,
184.0,283.03,80,5,15,0,0,0,0,0,0,0,
283.03,283.55,20,0,0,80,0,0,0,0,0,0,
283.55,325.1,80,5,15,0,0,0,0,0,0,0,
325.1,366.75,90,0,0,10,0,0,0,0,0,0,
366.75,372.95,20,0,0,80,0,0,0,0,0,0,
372.95,406.9,90,0,0,10,0,0,0,0,0,0,
406.9,408.35,20,0,0,80,0,0,0,0,0,0,
408.35,416.48,90,0,0,10,0,0,0,0,0,0,
416.48,420.57,20,0,0,80,0,0,0,0,0,0,
420.57,470.55,90,0,0,10,0,0,0,0,0,0,
470.55,475.9,90,0,10,0,0,0,0,0,0,0,
475.9,489.6,80,0,10,10,0,0,0,0,0,0,
489.6,521.75,90,0,10,0,0,0,0,0,0,0,
521.75,564.3,70,0,10,20,0,0,0,0,0,0,
564.3,586.4,90,0,0,10,0,0,0,0,0,0,
586.4,588.9,90,0,10,0,0,0,0,0,0,0,
588.9,593.2,90,0,0,10,0,0,0,0,0,0,
593.2,603.8,85,0,0,15,0,0,0,0,0,0,
603.8,628.0,90,0,0,10,0,0,0,0,0,0,
628.0,783.8,70,15,15,0,0,0,0,0,0,0,
783.8,785.0,90,0,0,10,0,0,0,0,0,0,
